"Countries, territories and areas",Year,Mental hospitals (per 100 000 population),Mental health units in general hospitals (per 100 000 population),Mental health outpatient facilities (per 100 000 population),Psychiatrists working in mental health sector (per 100 000 population),Nurses working in mental health sector (per 100 000 population),Psychologists working in mental health sector (per 100 000 population),sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,1,1,85,252851,33.62,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,1,4,29,113527,25.54,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,1,5,3,15349,19.55,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,0,5,3,26305,11.4,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,0,1,18,246805,7.29,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,0,2,15,292237,5.13,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,0,3,15,406028,3.69,"11,183,458,131",4145
Mongolia,2016,34.0,470.0,67.0,4.031,4.199,101.0,0,4,1,148196,0.67,"11,183,458,131",4145
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,1,1,13,293525,4.43,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,1,3,27,675747,4.0,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,1,2,21,676108,3.11,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,1,4,2,99266,2.01,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,0,3,3,179374,1.67,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,0,2,2,164901,1.21,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,0,1,0,88675,0.0,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,0,4,0,26182,0.0,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,0,5,0,3250,0.0,"152,451,923,077",62484
Qatar,2016,38.0,38.0,344.0,2.712,9.933,1.413,1,5,0,6093,0.0,"152,451,923,077",62484
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,1,4,615,2068747,29.73,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,1,5,171,579838,29.49,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,1,3,632,2945568,21.46,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,1,2,134,1359178,9.86,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,1,1,91,1101638,8.26,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,0,5,61,997868,6.11,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,0,4,112,2462909,4.55,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,0,3,96,2823207,3.4,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,0,2,27,1264645,2.13,"187,805,922,349",10020
Romania,2016,171.0,392.0,911.0,5.665,18.71,1.479,0,1,14,1041307,1.34,"187,805,922,349",10020
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,1,4,734,5203957,14.1,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,1,3,1421,10084647,14.09,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,1,5,152,1124052,13.52,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,1,2,646,4796355,13.47,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,1,1,322,4736305,6.8,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,0,5,69,1589015,4.34,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,0,4,222,6049756,3.67,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,0,3,375,10629684,3.53,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,0,2,116,4702656,2.47,"411,755,164,833",6713
Thailand,2016,28.0,151.0,1.302,721.0,7.418,1.749,0,1,60,4525574,1.33,"411,755,164,833",6713
